month_label,start_date,end_date,primary_category,primary_sub_category,multiplier_info,is_seasonal,seasonal_type,is_mixed,mixed_components,is_all_role,all_role_components,weight,component_weight_rule,extra_tags,note,source_name,source_url,confidence
2022-12,11/29/2022,1/2/2023,seasonal,bounty_hunter|holiday_rewards,Bounty Hunter bonuses plus holiday gifts and items,TRUE,holiday,TRUE,bounty_hunter|holiday_rewards,FALSE,,1,mixed_manual,bounty_hunter|holiday,Seasonal holiday layer plus Bounty Hunter role.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/4k5kko5212o19a/bounty-hunter-bonuses-plus-holiday-cheer-coming-to-red-dead-online,high
2023-01,1/3/2023,1/30/2023,role,trader|moonshiner,2X RDO$ and XP on Trader and Moonshiner sales,FALSE,,FALSE,,FALSE,,1,split_equal,trader|moonshiner,Two roles in same benefit; tool should split role component weight equally.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/3972oa4k19a53k/celebrate-the-new-year-with-double-rewards-on-trader-and-moonshine-sal,high
2023-02,1/31/2023,2/27/2023,non_role,telegram|call_to_arms,3X rewards on Hardcore Telegram Missions; 2X Gold and XP on Call to Arms,TRUE,valentines,FALSE,,FALSE,,1,split_equal,telegram|call_to_arms|valentines,Valentine rewards are seasonal but main gameplay category is non-role.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/397a984a2o4a2o/get-triple-rewards-on-hardcore-telegram-missions,high
2023-03,2/28/2023,4/3/2023,non_role,blood_money,"2X RDO$, Gold, and XP on Blood Money Opportunities; 2X RDO$ on Contracts",FALSE,,FALSE,,FALSE,,1,single,blood_money,Pure non-role Blood Money month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/512528ak98a492/double-rewards-on-all-blood-money-opportunities-in-red-dead-online,high
2023-04,4/4/2023,5/1/2023,role,collector,Extra RDO$ and XP on Collector Set Sales and Weekly Collections; Easter gifts,TRUE,easter,FALSE,,FALSE,,1,single,collector|easter,Seasonal Easter gifts present but main focus is Collector.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/752a3577o7o22o/uncover-treasure-in-red-dead-online-to-reap-collector-bonuses-and-rewa,high
2023-05,5/2/2023,5/29/2023,role,bounty_hunter,Bounty Hunter bonuses and rewards,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/1731o92412a937/deal-out-frontier-justice-and-earn-bounty-hunter-bonuses-this-month,high
2023-06,5/30/2023,7/10/2023,role,moonshiner,Moonshiner bonuses and extra earnings this month,FALSE,,FALSE,,FALSE,,1,single,moonshiner,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k549197877225/run-afoul-of-prohibition-to-earn-extra-as-a-moonshiner-this-month,high
2023-07,7/11/2023,7/31/2023,role,naturalist,"Double RDO$ and XP for Naturalist Free Roam Events, Featured Series, and more",FALSE,,FALSE,,FALSE,,1,single,naturalist,Pure role month by main focus.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/1754534a915198/commune-with-wildlife-and-thrive-as-a-naturalist-in-red-dead-online,high
2023-08,8/1/2023,9/4/2023,non_role,free_roam,"2X RDO$, Gold, and XP on Free Roam Missions and Events",FALSE,,FALSE,,FALSE,,1,single,free_roam,Pure non-role free-roam month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/39o397o2k87ak3/travel-the-five-states-to-receive-double-rewards-on-free-roam-missions,high
2023-09,9/5/2023,10/2/2023,role,bounty_hunter,Bounty Hunter bonuses and benefits through October 2,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/51o23835972847/bounty-hunters-rewarded-with-a-range-of-bonuses-and-benefits-in-red-de,medium
2023-10,10/3/2023,11/6/2023,seasonal,call_to_arms|collector,Double rewards on All Hallow's Call to Arms; Collector bonuses; Halloween Pass 2,TRUE,halloween,TRUE,call_to_arms|collector,FALSE,,1,mixed_manual,halloween|call_to_arms|collector,Seasonal + role component.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/89771381397a41/halloween-hits-the-frontier-in-red-dead-online,high
2023-11,11/7/2023,12/4/2023,role,trader,Double rewards on Trader Sales; Thanksgiving gifts,TRUE,thanksgiving,FALSE,,FALSE,,1,single,trader|thanksgiving,Thanksgiving rewards present but main focus is Trader.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/39o99ak85o8819/celebrate-thanksgiving-in-red-dead-online-with-trader-bonuses,high
2023-12,12/5/2023,1/8/2024,seasonal,holiday_call_to_arms,Holiday Call to Arms and holiday gifts,TRUE,holiday,FALSE,,FALSE,,1,single,holiday_call_to_arms|holiday,Exact 2023 post is harder to retrieve from search; tag archive confirms holiday RDO cycle pattern.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/25a9k48915ka19/holidays-are-coming-to-red-dead-online,medium
2024-01,1/9/2024,2/5/2024,role,naturalist,Naturalist bonuses through February 5,FALSE,,FALSE,,FALSE,,1,single,naturalist,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/17589ko74o235a/kick-off-the-new-year-with-naturalist-bonuses,high
2024-02,2/6/2024,3/4/2024,role,bounty_hunter,Bounty Hunter bonuses and rewards,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Pure role month; exact snippet retrieved via official Rockstar result.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/175aa335575oa9/bounty-hunters-prosper-from-a-range-of-bonuses-and-rewards-in-red-dead,medium
2024-03,3/5/2024,4/1/2024,non_role,blood_money,Double rewards on Blood Money Contracts and Opportunities; posse bonuses,FALSE,,FALSE,,FALSE,,1,single,blood_money,Pure non-role Blood Money month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/25973a9o328717/delve-into-the-saint-denis-criminal-underground-with-blood-money-bonus,high
2024-04,4/2/2024,4/29/2024,non_role,free_roam|telegram,"Free Roam Events, Telegram Missions, and related bonuses",FALSE,,FALSE,,FALSE,,1,split_equal,free_roam|telegram,Non-role content bundle.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/ak58k245kka1a7/explore-the-frontier-with-bonuses-on-free-roam-events-telegram-mission,high
2024-05,4/30/2024,6/3/2024,role,all_roles,Bonuses for all Red Dead Online Specialist Roles; 4X XP on Featured Series,FALSE,,FALSE,,TRUE,bounty_hunter|trader|collector|naturalist|moonshiner,1,all_role_equal,all_roles,All-role month represented as primary_category=role and is_all_role=TRUE.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/k4457o11k9a88k/get-bonuses-for-all-red-dead-online-specialist-roles-earn-4x-xp-on-the,high
2024-06,6/4/2024,7/1/2024,non_role,races,"4X RDO$, XP, and racing bonuses",FALSE,,FALSE,,FALSE,,1,single,races,Pure non-role race month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9kk17aa84k97a9/riders-are-rewarded-with-4x-rdo-xp-and-additional-bonuses,high
2024-07,7/2/2024,7/29/2024,both,naturalist|telegram|gang_hideouts,Naturalist triple rewards; Telegram Missions and Gang Hideouts bonuses,FALSE,,TRUE,naturalist|telegram|gang_hideouts,FALSE,,1,mixed_manual,naturalist|telegram|gang_hideouts,Role + non-role benefits.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/o33a28177oa43a/naturalists-earn-triple-rewards-and-bonuses-for-sampling-wildlife-and,high
2024-08,7/30/2024,9/2/2024,role,collector,Triple rewards on Collectible Set Sales; Collector bonuses,FALSE,,FALSE,,FALSE,,1,single,collector,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/akk253717o8295/explore-parts-unknown-to-earn-collector-bonuses-including-triple-rewar,high
2024-09,9/3/2024,9/30/2024,role,bounty_hunter,Bounty Hunter bonuses and discounts,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Official tag result confirms September 2024 Bounty Hunter month; exact page title available.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k35k875o719k2/deliver-justice-as-a-bounty-hunter-to-earn-bonuses-and-discounts-in-re,medium
2024-10,10/1/2024,11/4/2024,seasonal,telegram|featured_series,New Telegram missions and Halloween Featured Series bonuses,TRUE,halloween,FALSE,,FALSE,,1,split_equal,halloween|telegram|featured_series,Halloween seasonal month; no major specialist-role focus detected in official snippet.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/akkk4935711297/halloween-inspired-terror-sweeps-across-red-dead-online,high
2024-11,11/5/2024,12/2/2024,role,trader,Trader bonuses; Thanksgiving rewards,TRUE,thanksgiving,FALSE,,FALSE,,1,single,trader|thanksgiving,Thanksgiving rewards present but main focus is Trader.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9kk33a394927o4/celebrate-thanksgiving-season-in-red-dead-online-with-trader-bonuses,high
2024-12,12/3/2024,1/6/2025,seasonal,holiday_call_to_arms,Merry Call to Arms; holiday gifts and snow season,TRUE,holiday,FALSE,,FALSE,,1,single,holiday_call_to_arms|holiday,Pure seasonal non-role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/177813532k2855/have-a-blast-this-holiday-season-in-red-dead-online-with-a-merry-call,high
2025-01,1/7/2025,2/3/2025,both,blood_money|collector,3X Blood Money Opportunities; 2X Blood Money Contracts; 2X Collector Set Sales; Free Roam Events,FALSE,,TRUE,blood_money|collector|free_roam,FALSE,,1,mixed_manual,blood_money|collector|free_roam,Role + non-role benefits.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/akkak34813a5a3/ring-in-the-new-year-with-red-dead-online-blood-money-and-collector-bo,high
2025-02,2/4/2025,3/3/2025,role,bounty_hunter,Bounty Hunter bonuses; Regular Bounties and other bounty activities,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/4kk991o55332ka/boundless-opportunities-await-bounty-hunters-on-the-frontier,high
2025-03,3/5/2025,3/31/2025,role,moonshiner,Moonshine bonuses and posse moonshine sales,FALSE,,FALSE,,FALSE,,1,single,moonshiner,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/k448a5k583899a/posse-up-and-get-paid-extra-for-moving-moonshine-in-red-dead-online,high
2025-04,4/1/2025,4/28/2025,role,trader,Triple rewards on Trader Sales and Trade Route; role bonuses,FALSE,,FALSE,,FALSE,,1,single,trader,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/4k32k89k2o772o/traders-set-to-prosper-this-month-with-role-bonuses-in-red-dead-online,high
2025-05,4/29/2025,6/2/2025,role,all_roles,"Big bonuses for all specialist roles; Collector/Naturalist sales; Bounty, Moonshiner, Trader bonuses",FALSE,,FALSE,,TRUE,bounty_hunter|trader|collector|naturalist|moonshiner,1,all_role_equal,all_roles,All-role month represented as primary_category=role and is_all_role=TRUE.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/3928a4k73a75o2/big-bonuses-for-all-specialist-roles-in-red-dead-online,high
2025-06,6/3/2025,6/30/2025,non_role,showdown|gang_hideouts|free_roam,"New Showdown Mode; Gang Hideouts, Free Roam Missions, and more",FALSE,,FALSE,,FALSE,,1,split_equal,showdown|gang_hideouts|free_roam,Non-role bundle.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/513k3k899o998a/evade-enemy-fire-in-the-new-dodge-a-bullet-twist-on-head-for-the-hills,high
2025-07,7/1/2025,8/4/2025,non_role,telegram,"Strange Tales of the West; 3X Gold, RDO$, and XP in new Telegram Missions",FALSE,,FALSE,,FALSE,,1,single,telegram,Pure non-role Telegram month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/o327292o933k29/strange-tales-of-the-west-emerge-in-red-dead-online,high
2025-08,8/5/2025,9/1/2025,role,bounty_hunter,Deliver Justice as a Bounty Hunter; 3X RDO$ and XP on Regular Bounties,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k35k875o719k2/deliver-justice-as-a-bounty-hunter-to-earn-bonuses-and-discounts-in-re,high
2025-09,9/2/2025,10/6/2025,role,collector,Discover Rare Collectibles and unearth Collector bonuses,FALSE,,FALSE,,FALSE,,1,single,collector,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/258529kk3oa438/discover-rare-collectibles-in-red-dead-online-and-unearth-bonuses,medium
2025-10,10/7/2025,11/3/2025,seasonal,featured_series|halloween_call_to_arms,Halloween Featured Series and seasonal rewards,TRUE,halloween,FALSE,,FALSE,,1,split_equal,halloween|featured_series|call_to_arms,Seasonal non-role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k33o3248oa744/halloween-season-returns-to-red-dead-online,high
2025-11,11/4/2025,12/1/2025,role,trader,Thanksgiving Trader rewards and bonuses,TRUE,thanksgiving,FALSE,,FALSE,,1,single,trader|thanksgiving,Thanksgiving rewards present but main focus is Trader.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/8948237ak83952/celebrate-thanksgiving-and-cultivate-trader-rewards-in-red-dead-online,medium
2025-12,12/2/2025,1/5/2026,seasonal,showdown|naturalist|holiday_rewards,Festive new Showdown; Naturalist sample sales bonuses; holiday rewards,TRUE,holiday,TRUE,showdown|naturalist|holiday_rewards,FALSE,,1,mixed_manual,holiday|showdown|naturalist,Seasonal + role component.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/75388oo85598a1/ring-in-the-holidays-with-a-festive-new-showdown-in-red-dead-online,high
2026-01,1/6/2026,2/2/2026,role,bounty_hunter,Bounty Hunter bonuses and discounts,FALSE,,FALSE,,FALSE,,1,single,bounty_hunter,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/ak394o271o2a59/corral-bounty-hunter-bonuses-in-red-dead-online,high
2026-02,2/3/2026,3/2/2026,non_role,blood_money,Crime pays with triple Blood Money rewards,FALSE,,FALSE,,FALSE,,1,single,blood_money,Pure non-role Blood Money month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/75318ak27ok97k/crime-pays-in-red-dead-online-with-triple-rewards-on-blood-money-oppor,high
2026-03,3/3/2026,3/30/2026,role,moonshiner,Double rewards selling moonshine,FALSE,,FALSE,,FALSE,,1,single,moonshiner,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/5174778o955352/wrangle-double-rewards-selling-moonshine-in-red-dead-online,high
2026-04,3/31/2026,5/4/2026,role,trader,Trader sales bonuses; complete Trader sales,FALSE,,FALSE,,FALSE,,1,single,trader,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/k4a9473a383191/hit-the-gravy-train-by-completing-trader-sales-in-red-dead-online,high
2026-05,5/5/2026,6/1/2026,role,naturalist,Naturalist bonuses; conserve frontier wildlife,FALSE,,FALSE,,FALSE,,1,single,naturalist,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/4k1a445a4kkk5a/conserve-frontier-wildlife-as-a-naturalist-in-red-dead-online,high
2026-06,6/2/2026,Happening,role,all_roles,All Roles benefit from boosted bonuses,FALSE,,FALSE,,TRUE,bounty_hunter|trader|collector|naturalist|moonshiner,1,all_role_equal,all_roles,All-role month represented as primary_category=role and is_all_role=TRUE.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/39a3k38874o21a/a-bustling-frontier-benefits-all-roles-in-red-dead-online,high
